날자,시간,DDC_ID,POINT_ID,포인트명,사용량
20160101,0,V000000000,4150,설비 main 전력량_지침*,0
20160101,1500,V000000000,4150,설비 main 전력량_지침*,0.692
20160101,3000,V000000000,4150,설비 main 전력량_지침*,0.828
20160101,4500,V000000000,4150,설비 main 전력량_지침*,0.828
20160101,10000,V000000000,4150,설비 main 전력량_지침*,0
20160101,11500,V000000000,4150,설비 main 전력량_지침*,0
20160101,13000,V000000000,4150,설비 main 전력량_지침*,0
20160101,14500,V000000000,4150,설비 main 전력량_지침*,0
20160101,20000,V000000000,4150,설비 main 전력량_지침*,0.828
20160101,21500,V000000000,4150,설비 main 전력량_지침*,0.836
20160101,23000,V000000000,4150,설비 main 전력량_지침*,0
20160101,24500,V000000000,4150,설비 main 전력량_지침*,0
20160101,30000,V000000000,4150,설비 main 전력량_지침*,0
20160101,31500,V000000000,4150,설비 main 전력량_지침*,0.836
20160101,33000,V000000000,4150,설비 main 전력량_지침*,0
20160101,34500,V000000000,4150,설비 main 전력량_지침*,0.828
20160101,40000,V000000000,4150,설비 main 전력량_지침*,0
20160101,41500,V000000000,4150,설비 main 전력량_지침*,0
20160101,43000,V000000000,4150,설비 main 전력량_지침*,0
20160101,44500,V000000000,4150,설비 main 전력량_지침*,0
20160101,50000,V000000000,4150,설비 main 전력량_지침*,0.691
20160101,51500,V000000000,4150,설비 main 전력량_지침*,0
20160101,53000,V000000000,4150,설비 main 전력량_지침*,1.283
20160101,54500,V000000000,4150,설비 main 전력량_지침*,0.692
20160101,60000,V000000000,4150,설비 main 전력량_지침*,0.695
20160101,61500,V000000000,4150,설비 main 전력량_지침*,0
20160101,63000,V000000000,4150,설비 main 전력량_지침*,6.907
20160101,64500,V000000000,4150,설비 main 전력량_지침*,6.937
20160101,70000,V000000000,4150,설비 main 전력량_지침*,9.484
20160101,71500,V000000000,4150,설비 main 전력량_지침*,5.188
20160101,73000,V000000000,4150,설비 main 전력량_지침*,0
20160101,74500,V000000000,4150,설비 main 전력량_지침*,0
20160101,80000,V000000000,4150,설비 main 전력량_지침*,1.528
20160101,81500,V000000000,4150,설비 main 전력량_지침*,0
20160101,83000,V000000000,4150,설비 main 전력량_지침*,0
20160101,84500,V000000000,4150,설비 main 전력량_지침*,0
20160101,90000,V000000000,4150,설비 main 전력량_지침*,0
20160101,91500,V000000000,4150,설비 main 전력량_지침*,0
20160101,93000,V000000000,4150,설비 main 전력량_지침*,0
20160101,94500,V000000000,4150,설비 main 전력량_지침*,0
20160101,100000,V000000000,4150,설비 main 전력량_지침*,7.295
20160101,101500,V000000000,4150,설비 main 전력량_지침*,9.644
20160101,103000,V000000000,4150,설비 main 전력량_지침*,11.37
